offer_id,estimated_price,estimated_price_clean
316136075,94 000 ₽/мес,94000
316135608,72 000 ₽/мес,72000
316135435,73 000 ₽/мес,73000
316133349,103 500 ₽/мес,103500
316167091,77 000 ₽/мес,77000
316159873,88 000 ₽/мес,88000
316159287,120 500 ₽/мес,120500
316153909,86 000 ₽/мес,86000
316153847,81 000 ₽/мес,81000
316153818,73 000 ₽/мес,73000
316140905,86 000 ₽/мес,86000
316138875,61 000 ₽/мес,61000
316132828,112 500 ₽/мес,112500
316132562,62 000 ₽/мес,62000
316131167,84 000 ₽/мес,84000
316122970,85 000 ₽/мес,85000
316118099,72 000 ₽/мес,72000
316104722,80 000 ₽/мес,80000
316085766,77 000 ₽/мес,77000
316063232,74 000 ₽/мес,74000
316063035,73 000 ₽/мес,73000
316039075,58 000 ₽/мес,58000
316031652,69 000 ₽/мес,69000
316029933,92 000 ₽/мес,92000
316027445,80 000 ₽/мес,80000
316015200,80 000 ₽/мес,80000
316009307,94 000 ₽/мес,94000
316006051,74 000 ₽/мес,74000
316003714,84 000 ₽/мес,84000
315998815,82 000 ₽/мес,82000
315988478,113 500 ₽/мес,113500
315985003,70 000 ₽/мес,70000
315982292,66 000 ₽/мес,66000
315977648,80 000 ₽/мес,80000
315962374,103 000 ₽/мес,103000
315960228,86 000 ₽/мес,86000
315957488,98 000 ₽/мес,98000
315938837,117 500 ₽/мес,117500
315934380,74 000 ₽/мес,74000
315933413,90 000 ₽/мес,90000
315930241,74 000 ₽/мес,74000
315916928,80 000 ₽/мес,80000
315915558,76 000 ₽/мес,76000
315911384,88 000 ₽/мес,88000
315910730,83 000 ₽/мес,83000
315910228,67 000 ₽/мес,67000
315909802,56 000 ₽/мес,56000
315907723,80 000 ₽/мес,80000
315904837,70 000 ₽/мес,70000
315904699,73 000 ₽/мес,73000
315904568,80 000 ₽/мес,80000
315900473,66 000 ₽/мес,66000
315900371,114 500 ₽/мес,114500
315898658,82 000 ₽/мес,82000
315890062,78 000 ₽/мес,78000
315890014,79 000 ₽/мес,79000
315881468,68 000 ₽/мес,68000
315876270,75 000 ₽/мес,75000
315859046,80 000 ₽/мес,80000
315858476,71 000 ₽/мес,71000
315855718,60 000 ₽/мес,60000
315855629,73 000 ₽/мес,73000
315833677,92 000 ₽/мес,92000
315821066,71 000 ₽/мес,71000
315820540,120 000 ₽/мес,120000
315816443,82 000 ₽/мес,82000
315812551,84 000 ₽/мес,84000
315810088,93 000 ₽/мес,93000
315809659,76 000 ₽/мес,76000
315803397,98 000 ₽/мес,98000
315799144,78 000 ₽/мес,78000
315778278,75 000 ₽/мес,75000
315778004,66 000 ₽/мес,66000
315765102,58 000 ₽/мес,58000
315754970,64 000 ₽/мес,64000
315751488,76 000 ₽/мес,76000
315749932,81 000 ₽/мес,81000
315749482,84 000 ₽/мес,84000
315730427,78 000 ₽/мес,78000
315729152,73 000 ₽/мес,73000
315728836,70 000 ₽/мес,70000
315720394,82 000 ₽/мес,82000
315718474,61 000 ₽/мес,61000
